CityName, City, Urban
Shanghai, 上海, 22265426
Dongguan, 东莞, 8220937
Dongying, 东营, 756700
Linfen, 临汾, 944050
Linyi, 临沂, 2600200
Linhai, 临海, 1028800
Dandong, 丹东, 798364
Danyang, 丹阳市, 960418
Lishui, 丽水, 451400
Lijiang, 丽江, 155540
Yiwu, 义乌, 2038400
Ürümqi, 乌鲁木齐, 3029372
Jiujiang, 九江, 592381
Bozhou, 亳州, 1409436
Jiamusi, 佳木斯, 881711
Baoding, 保定, 1157891
Xinyang, 信阳, 1229959
Karamay, 克拉玛依, 261445
Lu'an, 六安, 1778583
Lanzhou, 兰州, 2492325
Neijiang, 内江, 1251095
Baotou, 包头, 2070801
Huazhou, 化州, 1178873
Beijing, 北京, 19295000
Beihai, 北海, 668085
Nanjing, 南京, 7165828
Nanchong, 南充, 1771920
Nanning, 南宁, 3437171
Nanping, 南平, 467875
Nanchang, 南昌, 2357838
Nantong, 南通, 2273326
Nanyang, 南阳, 1811732
Xiamen, 厦门, 3531347
Taizhou, 台州, 1902500
Hefei, 合肥, 3352076
Jilin City, 吉林市, 1975803
Qidong, 启东, 972525
Wuchuan, 吴川, 947499
Zhoukou, 周口, 505139
Hohhot, 呼和浩特, 1980774
Xianyang, 咸阳, 945420
Harbin, 哈尔滨, 4517549
Tangshan, 唐山, 3187171
Kashgar, 喀什, 396795
Jiaxing, 嘉兴, 1201900
Datong, 大同, 1570035
Daqing, 大庆, 1649825
Dalian, 大连, 3683941
Tianshui, 天水, 1197174
Tianjin, 天津, 11090314
Taiyuan, 太原, 3426522
Rugao, 如皋, 1267066
Weihai, 威海, 908200
Ningbo, 宁波, 3491597
Anqing, 安庆, 780514
Anyang, 安阳, 1146761
Dingzhou, 定州, 1165182
Yixing, 宜兴, 1235476
Yibin, 宜宾, 836383
Yichang, 宜昌, 1411380
Baoji, 宝鸡, 1437802
Suzhou, 宿州, 1647642
Suqian, 宿迁, 1437686
Shouguang, 寿光, 1139400
Yueyang, 岳阳, 1232133
Bazhong, 巴中, 1126790
Changzhou, 常州, 3290548
Changde, 常德, 1458536
Changshu, 常熟, 1510103
Pingdingshan, 平顶山, 1033975
Guangzhou, 广州, 11070654
Langfang, 廊坊, 868066
Kaifeng, 开封, 896057
Zhangjiagang, 张家港, 1248414
Xuzhou, 徐州, 3053078
Dezhou, 德州, 679600
Huizhou, 惠州, 2344507
Cixi, 慈溪, 1462383
Chengdu, 成都, 7677122
Yangzhou, 扬州, 2399079
Fushun, 抚顺, 1356987
Lhasa, 拉萨, 279074
Panzhihua, 攀枝花, 1214100
Xinxiang, 新乡, 1047020
Xinyi, 新沂, 920610
Wuxi, 无锡, 3542319
Rizhao, 日照, 1143078
Kunming, 昆明, 3583429
Qujing, 曲靖, 740925
Benxi, 本溪, 972932
Hangzhou, 杭州, 6242000
Zaozhuang, 枣庄, 2125136
Zaoyang, 枣阳, 1004741
Liuzhou, 柳州, 1436599
Zhuzhou, 株洲, 1055373
Guilin, 桂林, 975638
Wuwei, 武威, 1010295
Wuhan, 武汉, 9780644
Shantou, 汕头, 1346708
Zhangzhou, 漳州, 705649
Jiangmen, 江门, 1822640
Jiangyin, 江阴, 1594829
Shenyang, 沈阳, 5967526
Cangzhou, 沧州, 536793
Quanzhou, 泉州, 1398427
Taixing, 泰兴市, 1192213
Tai'an, 泰安, 1735500
Taizhou, 泰州, 1417567
Luoyang, 洛阳, 1925948
Jinan, 济南, 4335900
Jining, 济宁, 1115300
Zhucheng, 诸城, 1086200
Haikou, 海口, 2046189
Haicheng, 海城, 1201209
Haimen, 海门, 907598
Zibo, 淄博, 2980800
Huaibei, 淮北, 1113321
Huainan, 淮南, 1769582
Huai'an, 淮安, 2633420
Shenzhen, 深圳, 10357938
Wenling, 温岭, 1366800
Wenzhou, 温州, 3039500
Xiangtan, 湘潭, 959303
Zhanjiang, 湛江, 1612300
Chuzhou, 滁州, 562321
Tengzhou, 滕州, 1603700
Binzhou, 滨州, 709700
Zhangzhou, 漳州, 596165
Weifang, 潍坊, 1521600
Chaozhou, 潮州, 452472
Macau, 澳门, 552503
Puyang, 濮阳, 655631
Yantai, 烟台, 1870600
Jiaozuo, 焦作, 865356
Mudanjiang, 牡丹江, 965154
Yulin, 玉林, 637617
Zhuhai, 珠海, 1560229
Panjin, 盘锦, 666205
Shijiazhuang, 石家庄, 2861784
Fuzhou, 福州, 2921763
Fuqing, 福清, 1234838
Yuzhou, 禹州, 1131819
Qinhuangdao, 秦皇岛, 1029670
Zhangqiu, 章丘, 1064200
Shaoxing, 绍兴, 883800
Suihua, 绥化, 877682
Mianyang, 绵阳, 1355331
Zhaoqing, 肇庆, 644045
Feicheng, 肥城, 946600
Zigong, 自贡, 1362062
Zhoushan, 舟山, 843000
Wuhu, 芜湖, 1009824
Suzhou, 苏州, 5349090
Maoming, 茂名, 1217715
Jingzhou, 荆州, 1154086
Putian, 莆田, 1953801
Laiwu, 莱芜, 1298500
Heze, 菏泽, 1346700
Yingkou, 营口, 738128
Huludao, 葫芦岛, 777682
Bengbu, 蚌埠, 972784
Hengyang, 衡阳, 1135166
Xiangyang, 襄阳, 2199689
Xining, 西宁, 1198304
Xi'an, 西安, 6501189
Xuchang, 许昌, 498058
Zhuji, 诸暨, 1157900
Guigang, 贵港, 1493874
Guiyang, 贵阳, 3037159
Hezhou, 贺州, 1005500
Chifeng, 赤峰, 1333526
Liaoyang, 辽阳, 655738
Lianyungang, 连云港, 1049831
Zunyi, 遵义, 1095189
Dengzhou, 邓州, 1468061
Xingtai, 邢台, 688876
Handan, 邯郸, 941427
Pizhou, 邳州, 1458036
Shaoyang, 邵阳, 753194
Zoucheng, 邹城市, 1116700
Zhengzhou, 郑州, 4253627
Ezhou, 鄂州, 1048672
Chongqing, 重庆, 7457600
Jinhua, 金华, 1077300
Tieling, 铁岭, 328555
Yinchuan, 银川, 1290170
Jinzhou, 锦州, 875955
Zhenjiang, 镇江, 1200400
Changchun, 长春, 3530115
Changsha, 长沙, 3093980
Fuxin, 阜新, 686848
Fuyang, 阜阳, 1768947
Yangjiang, 阳江, 676858
Aksu, 阿克苏, 535657
Altay, 阿勒泰, 190064
Qingdao, 青岛, 4587200
Jingjiang, 靖江, 617277
Anshan, 鞍山, 1582742
Xiangcheng, 项城, 1003626
Hong Kong, 香港, 7055071
Ma'anshan, 马鞍山, 741531
Hegang, 鹤岗, 489232
Huangshi, 黄石, 764571
Qiqihar, 齐齐哈尔, 1481637
Wuhu, 芜湖, 1408917
Liaocheng, 聊城, 1229800
, , 
